Date,Year,Quarter,Month Number,Month,Month Year,Year Month,Week,Weekday Number,Weekday,Day
2023-04-21,2023,Q2,4,Apr,Apr 2023,2023-04,16,5,Fri,21
2023-04-22,2023,Q2,4,Apr,Apr 2023,2023-04,16,6,Sat,22
2023-04-23,2023,Q2,4,Apr,Apr 2023,2023-04,16,7,Sun,23
2023-04-24,2023,Q2,4,Apr,Apr 2023,2023-04,17,1,Mon,24
2023-04-25,2023,Q2,4,Apr,Apr 2023,2023-04,17,2,Tue,25
2023-04-26,2023,Q2,4,Apr,Apr 2023,2023-04,17,3,Wed,26
2023-04-27,2023,Q2,4,Apr,Apr 2023,2023-04,17,4,Thu,27
2023-04-28,2023,Q2,4,Apr,Apr 2023,2023-04,17,5,Fri,28
2023-04-29,2023,Q2,4,Apr,Apr 2023,2023-04,17,6,Sat,29
2023-04-30,2023,Q2,4,Apr,Apr 2023,2023-04,17,7,Sun,30
2023-05-01,2023,Q2,5,May,May 2023,2023-05,18,1,Mon,1
2023-05-02,2023,Q2,5,May,May 2023,2023-05,18,2,Tue,2
2023-05-03,2023,Q2,5,May,May 2023,2023-05,18,3,Wed,3
2023-05-04,2023,Q2,5,May,May 2023,2023-05,18,4,Thu,4
2023-05-05,2023,Q2,5,May,May 2023,2023-05,18,5,Fri,5
2023-05-06,2023,Q2,5,May,May 2023,2023-05,18,6,Sat,6
2023-05-07,2023,Q2,5,May,May 2023,2023-05,18,7,Sun,7
2023-05-08,2023,Q2,5,May,May 2023,2023-05,19,1,Mon,8
2023-05-09,2023,Q2,5,May,May 2023,2023-05,19,2,Tue,9
2023-05-10,2023,Q2,5,May,May 2023,2023-05,19,3,Wed,10
2023-05-11,2023,Q2,5,May,May 2023,2023-05,19,4,Thu,11
2023-05-12,2023,Q2,5,May,May 2023,2023-05,19,5,Fri,12
2023-05-13,2023,Q2,5,May,May 2023,2023-05,19,6,Sat,13
2023-05-14,2023,Q2,5,May,May 2023,2023-05,19,7,Sun,14
2023-05-15,2023,Q2,5,May,May 2023,2023-05,20,1,Mon,15
2023-05-16,2023,Q2,5,May,May 2023,2023-05,20,2,Tue,16
2023-05-17,2023,Q2,5,May,May 2023,2023-05,20,3,Wed,17
2023-05-18,2023,Q2,5,May,May 2023,2023-05,20,4,Thu,18
2023-05-19,2023,Q2,5,May,May 2023,2023-05,20,5,Fri,19
2023-05-20,2023,Q2,5,May,May 2023,2023-05,20,6,Sat,20
2023-05-21,2023,Q2,5,May,May 2023,2023-05,20,7,Sun,21
2023-05-22,2023,Q2,5,May,May 2023,2023-05,21,1,Mon,22
2023-05-23,2023,Q2,5,May,May 2023,2023-05,21,2,Tue,23
2023-05-24,2023,Q2,5,May,May 2023,2023-05,21,3,Wed,24
2023-05-25,2023,Q2,5,May,May 2023,2023-05,21,4,Thu,25
2023-05-26,2023,Q2,5,May,May 2023,2023-05,21,5,Fri,26
2023-05-27,2023,Q2,5,May,May 2023,2023-05,21,6,Sat,27
2023-05-28,2023,Q2,5,May,May 2023,2023-05,21,7,Sun,28
2023-05-29,2023,Q2,5,May,May 2023,2023-05,22,1,Mon,29
2023-05-30,2023,Q2,5,May,May 2023,2023-05,22,2,Tue,30
2023-05-31,2023,Q2,5,May,May 2023,2023-05,22,3,Wed,31
2023-06-01,2023,Q2,6,Jun,Jun 2023,2023-06,22,4,Thu,1
2023-06-02,2023,Q2,6,Jun,Jun 2023,2023-06,22,5,Fri,2
2023-06-03,2023,Q2,6,Jun,Jun 2023,2023-06,22,6,Sat,3
2023-06-04,2023,Q2,6,Jun,Jun 2023,2023-06,22,7,Sun,4
2023-06-05,2023,Q2,6,Jun,Jun 2023,2023-06,23,1,Mon,5
2023-06-06,2023,Q2,6,Jun,Jun 2023,2023-06,23,2,Tue,6
2023-06-07,2023,Q2,6,Jun,Jun 2023,2023-06,23,3,Wed,7
2023-06-08,2023,Q2,6,Jun,Jun 2023,2023-06,23,4,Thu,8
2023-06-09,2023,Q2,6,Jun,Jun 2023,2023-06,23,5,Fri,9
2023-06-10,2023,Q2,6,Jun,Jun 2023,2023-06,23,6,Sat,10
2023-06-11,2023,Q2,6,Jun,Jun 2023,2023-06,23,7,Sun,11
2023-06-12,2023,Q2,6,Jun,Jun 2023,2023-06,24,1,Mon,12
2023-06-13,2023,Q2,6,Jun,Jun 2023,2023-06,24,2,Tue,13
2023-06-14,2023,Q2,6,Jun,Jun 2023,2023-06,24,3,Wed,14
2023-06-15,2023,Q2,6,Jun,Jun 2023,2023-06,24,4,Thu,15
2023-06-16,2023,Q2,6,Jun,Jun 2023,2023-06,24,5,Fri,16
2023-06-17,2023,Q2,6,Jun,Jun 2023,2023-06,24,6,Sat,17
2023-06-18,2023,Q2,6,Jun,Jun 2023,2023-06,24,7,Sun,18
2023-06-19,2023,Q2,6,Jun,Jun 2023,2023-06,25,1,Mon,19
2023-06-20,2023,Q2,6,Jun,Jun 2023,2023-06,25,2,Tue,20
2023-06-21,2023,Q2,6,Jun,Jun 2023,2023-06,25,3,Wed,21
2023-06-22,2023,Q2,6,Jun,Jun 2023,2023-06,25,4,Thu,22
2023-06-23,2023,Q2,6,Jun,Jun 2023,2023-06,25,5,Fri,23
2023-06-24,2023,Q2,6,Jun,Jun 2023,2023-06,25,6,Sat,24
2023-06-25,2023,Q2,6,Jun,Jun 2023,2023-06,25,7,Sun,25
2023-06-26,2023,Q2,6,Jun,Jun 2023,2023-06,26,1,Mon,26
2023-06-27,2023,Q2,6,Jun,Jun 2023,2023-06,26,2,Tue,27
2023-06-28,2023,Q2,6,Jun,Jun 2023,2023-06,26,3,Wed,28
